,Customer_Name,Date,Ratings,Review_Title,Reviews,Product_name,Price
0,Alex Perry,"August 25, 2022",3.0 out of 5 stars,Power adapter comes loose,"Power adapter came loose after a few months, so charging is intermittent. No telling what damage this is doing to the battery, let alone the system as a whole.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
11,Amazon Customer,"August 16, 2019",3.0 out of 5 stars,Becareful,,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
12,Rickles,"February 1, 2021",5.0 out of 5 stars,How to maximize usage,The media could not be loaded.,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
13,TECHNolli,"January 6, 2020",5.0 out of 5 stars,Did you think it wouldn't be any good?  Well it's EXCELLENT!," I loved this laptop for the first 2 months, then it started having these bubbles pop up out of nowhere and I am unable to do anything at that point. When it first started, all I had to do was restart the laptop. Now no matter what I do it doesn't go away, I called Microsoft to see what they could do, I have them troubleshoot over the phone while screen sharing with a tech only for them to crash the laptop. I found a Microsoft office here in MN and I brought the laptop there to have it reboot only for them to tell me my files are all gone. I have only had this computer since April and at this point I am frustrated. All my school work, my apps for school, all gone. After Microsoft did what they, (wiping) the laptop, I went for it back since i needed it for school only for the issue to start back again even worse this time. I got this back only 2 weeks ago. I  very annoyed.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
14,Maxsteel611@gmail. Com,"October 10, 2021",5.0 out of 5 stars,good,"This was a Christmas gift from my husband on the advice of our two sons. I use it for keeping church records, writing documents and just plain fun! I am still learning a lot about it's capabilities. Not used to the touch screen yet but I'll get there.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
15,Maria Gonzalez,"January 10, 2020",4.0 out of 5 stars,Great deal for the price!,"WoW, what a deal on Amazon!  I bought this laptop for a customers of mine. She is a realtor and needed a newer laptop for business and she had no idea what to get. I knew she would need at least an i5 CPU and 8GB ram. Well not only does it have all of that but it also comes with an SSD Hard Drive!  Super nice laptop and with the touch screen it's perfect for her.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
16,Victor F.,"July 29, 2019",4.0 out of 5 stars,Big scratch on the laptop,good,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
17,Abhishek,"February 6, 2020",5.0 out of 5 stars,An amazing laptop overall.,I like the size of the monitor and the laptop in general.  Was not happy the keyboard did not have lighting.  When I type I tend to look at my keyboard,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
18,Daisymae,"June 8, 2020",1.0 out of 5 stars,"HORRIBLE, EXTREMELY DISAPPOINTED!!!","I’ve received the laptop with a big scratch on it. The laptop itself  works fine well but I have to say it’s disappointing to get a brand new product like this, I was expecting to be better looked after.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
19,H. Anderson,"August 8, 2019",5.0 out of 5 stars,One of the fastest laptops I've ever used.,"I love everything about the laptop, especially the SSD and touchscreen features. I purchased it mainly for general usage and also have easy accessibility to Microsoft applications. I just wish that the laptop had a feature that makes the keypad turn bright when the laptop is being used at night.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
20,Ginny,"August 24, 2020",5.0 out of 5 stars,Perfect computer,This computer was exactly what was described. It can handle all my work. Startup and shutdown are quick. Keyboard is responsive and has eliminated the problems of being too sensitive.,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
21,Brenda L Zeigler ,"January 16, 2020",4.0 out of 5 stars,That am satisfied in what I purchase,I didn't not buy the laptop for my own use It was a Christmas gift for some one,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
22,Jose M Laguna,"December 25, 2019",4.0 out of 5 stars,The product is fine,Overall it is fine. what I did not like is the time it took to deliver waited too long.,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
23,Brad,"January 6, 2020",1.0 out of 5 stars,BAD OUT OF BOX + Junk,"I purchased this laptop for a new technician that i hired and did not get a chance to open it until maybe 2-3 weeks after purchasing as we did not have time to set it up with all the work going on. Once we got it out and started with the initial setup everything went fine. This was purchased to be a field tech laptop but we were using it in office and in the middle of working in only chrome browser sessions, the laptop would crash and blue screen with different messages such as ""critical process dies"" or ""unknown fatal error occurred"" with some code that when i looked up was useless information. I tried to return the PC but after troubleshooting and letting it sit I was 6 days past the 30 day warranty. I troubleshot with Dell support and performed multiple remote sessions with them to reset and diagnose the problem and they could not figure it out. Now the PC will not boot as it continuously boots to the advanced restore page and when you try to reset it, it says another fatal error and reboots to the same advanced restore page. Even upon exiting the page it will reboot and go to the same thing.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
24,Samantha Sparks,"December 5, 2019",4.0 out of 5 stars,Great for College Students,A good middle of the road laptop for students and people who don't need a ton of features.,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
25,Kindle Customer,"June 24, 2022",1.0 out of 5 stars,This product just died after 3 months.,"I have bought dell laptops over the years, none has died on me like this did. It just stopped to function.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
26,Maya,"May 15, 2020",5.0 out of 5 stars,Loved it !!!!,"Great Item, brand new laptop no used one, overall been using it and no problems with it,Came in well packed and patched up and no damages on it.I’m happy 🙂👌",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
27,Brandi H Neisent,"December 3, 2019",5.0 out of 5 stars,Exactly what I needed!,So far. So good. Very impressed. Downloaded apps I need for work and all relevant content. Still have plenty of storage space and it starts up in under 10 seconds! I’m very pleased with this purchase! Feels very sturdy and of great quality as well.,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
28,Ronaldo Adriano Santos,"April 2, 2021",5.0 out of 5 stars,An excellent machine,I bought for school purposes. It works perfectly.,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
29,kenneth berube,"March 2, 2020",5.0 out of 5 stars,"your delivery was very good, I have no complaints","I use it for home use, my other laptop had win7 now it's obsolete so I bought another w/ win10 the speed is great and I'm more than happy with it. Thank you",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
30,Amazon Customer,"November 14, 2019",4.0 out of 5 stars,Decent for the price,The touch-mouse clicker seems a little cheesy but otherwise everything has worked well.,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
31,Francisco Balcazar,"October 30, 2019",3.0 out of 5 stars,Equipo Bueno,"No me agrado el brillo de la pantalla es muy opaco , me agrado el color y el tono mate de la laptop , lo malo es que no viene con una licencia activa de Windows y tampoco incluye la licencia de Office , articulo llego nuevo con plasticos y en buen estado .",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
32,M. Ablan,"March 19, 2019",5.0 out of 5 stars,,,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
33,Keval,"December 9, 2019",5.0 out of 5 stars,Great for the price,"I really like this computer, good price for a touch screen. I am not doing anything to difficult - word processing, web surfing and watching some videos. There was one issue - it did not come with the CD/DVD drive as advertised. However, I quickly contacted Amazon and they refunded some money which was put toward a external CD/DVD drive.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
34,Alex,"December 20, 2019",5.0 out of 5 stars,Voice sucks,I recieved  good product but the voice sucks I don’t understand how can amazon send me a new laptop with messed up voice.now i have to send this piece back and that sucks,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
35,LITEONE,"February 29, 2020",3.0 out of 5 stars,Overall good computer for a good price,"Overall satisfied with this product - had a bit of problem with Windows activation since it was in S mode, but seems I had successfully moved to Windows Home 10 as was advertised.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
36,pj_parker,"April 10, 2019",4.0 out of 5 stars,Dell Tech Support sucks.  e,I called Dell Tech Support up to resolve a minor matter.  They  want to charge me $167 because they stated my computer didn't include tech support.  I have had the computer  for only 40 days.,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
37,Mark R.,"January 26, 2020",5.0 out of 5 stars,"Great little laptop, 2.4G wireless only",I like the Dell machine but I did not like all the Microsoft software and default programs. It takes a long time to set everything up.,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
38,Michael Asian,"December 19, 2019",4.0 out of 5 stars,Great value,First new laptop in 10 years so I dont have a good jumping off point but it is superfast and isn't oberlaoded with a bunch of garbage software.,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
39,Kyle,"May 23, 2019",4.0 out of 5 stars,the overall quality is fine,The USB port are not perfect,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
40,Rodolfo Marin Palavicini,"February 15, 2021",5.0 out of 5 stars,Súper puede ser táctil,Súper súper,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
41,Keila,"May 19, 2020",5.0 out of 5 stars,,,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
42,Rickey A. Emery,"May 20, 2019",4.0 out of 5 stars,Great,Serious upgrade from my lenovo dinosaur that I've had for a little over 10 years. Love it.,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
43,Daniel Mijares,"July 2, 2020",3.0 out of 5 stars,great peformance. Snappy,"No DVD or hard drive, Hard drive is no problem Flash drives solve storage problem",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
44,Edith Rodriguez,"June 16, 2020",5.0 out of 5 stars,Unhappy,I was expecting something much better. I have always had Dell but I am not happy with this one,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
45,Nick Borg,"April 13, 2019",3.0 out of 5 stars,Muy buena,Exelente le ayudo mucho a mi hija con lo de las clases en línea.,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
46,John Starling,"November 8, 2019",5.0 out of 5 stars,,,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
47,Lisa M. Packard,"May 16, 2019",5.0 out of 5 stars,Good value for money,Good product for the price. It's for my daughter for school and she chose it. She was happy with the size and visibility however it is a little heavy.I also just realized the wifi card is 802.11b/g/n which is old and restricts wifi connection speed.Ok for basic stuff but not a fast machine.,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
48,Emily Harnish,"June 3, 2020",5.0 out of 5 stars,Product OK but not happy with age of product and no factory warranty.,1)  Package was late.2). Not well packed but product not damaged.3). Dell laptop 2018 model with only 1 month remaining on factory warranty.,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
49,Kim,"August 22, 2019",3.0 out of 5 stars,still learning how to use it,"So far I like most of it, although the keys lock up on me at times and I am not sure if it is because I am doing something or if there is a problem with the computer.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),&527
