,Unnamed: 0,Customer_Name,Date,Ratings,Review_Title,Reviews,Product_name,Price,sourcefilename
12,12,Kathleen O.,"July 28, 2022",2.0 out of 5 stars,Mouse Pad Barely Functions Keyboard not Ergonomic,"I have been using this for about 3 weeks and the mouse is difficult to control. It goes all over the place causing me to lose what I spend time typing. This is NOT a touchscreen model and it comes loaded with so much crappy nonsense and advertisements that pop up prompting tp buy stuff I don't need. The keyboard is also not ergonomic and comfortable to use, slowing the typing process. the wireless network adapter is faulty as well. I bought this to replace a crappy Gateway laptop that had the same problems with the network adapter. It is no better than the $200 Gateway. A waste if you ask me. I have to use an ethernet cable with an adapter than ended up costing me extra","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
13,13,Lu Lu,"March 28, 2022",5.0 out of 5 stars,Great little laptop for the money,I take this everywhere and love it. I use it for streaming and light office work. Good screen and keys feel good to the touch.. Nice long lasting battery time.,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
14,14,Irmarie Delgado,"May 6, 2022",5.0 out of 5 stars,Muy buena laptop,Excelente,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
15,15,Amazon Customer,"March 6, 2022",5.0 out of 5 stars,Light and compact,"I am very pleased with this unit - the screen is very big yet the unit is thin and lightweight. Easy to carry around. Am happy with it,","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
16,16,Frank Montano,"October 26, 2021",4.0 out of 5 stars,"It's good to plan ahead; It's also good to know fun stories, and empowering videos.","I used this product to check my e-mail, to remain up to date on the news, and I am trying to find a great video streaming provider to watch shows and films...","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
17,17,Sallie ,"February 15, 2022",3.0 out of 5 stars,Overall a good computer.,"Overall this is a good computer for your home office.  The only issue is that the video and sound are not great.  I had the previous generation of the Lenovo Ideapad and the sound and video quality was much better, so I'm not sure what went wrong on this model.  Aside from that, it's great for basic internet access, getting work done at home, and listening to music either through headphones or with separate computer speakers.","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
18,18,Ami,"March 24, 2022",5.0 out of 5 stars,Good,Display resolution was not expected otherwise good.,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
19,19,JR Sanchez,"March 25, 2022",5.0 out of 5 stars,Great product,Excellent product for working at home.,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
20,20,John Rystrom,"February 3, 2022",5.0 out of 5 stars,"Pound for pound, one of your best options.","Really good looking machine, fast, easy setup.","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
21,21,Al Ardowski ,"December 30, 2021",5.0 out of 5 stars,It works good I just need to learn more how to operate it,I just wish they gave me a manual to learn how to work it an all the functions,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
22,22,ozcat,"January 31, 2022",5.0 out of 5 stars,fast international delivery of good product,fast delivery good product,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
23,23,James Phillips,"December 11, 2021",5.0 out of 5 stars,Awesome laptop,"Works great for me, not a touch screen and I don’t any gaming with it. For what I do, it’s awesome","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
24,24,DT,"March 19, 2022",2.0 out of 5 stars,Decent machine except the display is horrible,"I bought this to be a work machine for coffee shops. 8GB is just barely enough but I could upgrade that. The keyboard has very little travel but I am accustomed to it now. The battery life is actually really good.Now the problem, the display is horrible! If the display matters at all to you take a pass on this one.Note: for any Linux folks it runs Arch with a 5.16 kernel with no problems at all.","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
25,25,Jeremiah Wright-Graham,"October 18, 2021",3.0 out of 5 stars,Great for simple tasks but not so good at multitasking effectively.,"While the overall design and functionality of this laptop are commendable, it is a very entry level device more suited for students and simple daily tasks than effortless multitasking.","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
26,26,gil david,"December 9, 2021",3.0 out of 5 stars,why can not download google chrome?,To find out if it good product.,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
27,27,juliette,"September 8, 2021",5.0 out of 5 stars,great laptop for everyday use and simple games,"works great, runs fast and has a very nice sleek look to it! highly recommend if you're looking for a laptop on a budget","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
28,28,Broderick,"October 10, 2021",5.0 out of 5 stars,Light weight,So far I am pleased with the laptop,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
29,29,Jayde Aaron,"February 2, 2022",2.0 out of 5 stars,Shadow,"When I plug my laptop in to charge, there is a triangle shaped shadow on the bottom left of the screen.","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
30,30,Ray,"June 25, 2022",1.0 out of 5 stars,Not touch screen,"Thought this was touch screen. Also, quality of graphics is very poor. Can barely read the screen.","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
31,31,keith Watkins,"June 4, 2022",1.0 out of 5 stars,Not the one we ordered,shows AMD r5 and 512ssd but instead got i3 proc with half the benchmark performance. Also has 1TB drive (non SSD) and generic graphics. Buyer beware,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
32,32,Amazon Customer,"July 14, 2022",1.0 out of 5 stars,It never worked,It never worked,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
33,33,Corinna,"May 18, 2022",1.0 out of 5 stars,Don't buy Lenovo products,,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
34,34,Kindle Customer,"December 30, 2021",1.0 out of 5 stars,Terrible Tech Service only intent on selling me $$$$ repair programs!,The media could not be loaded.,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
35,35,Butch Begley,"January 9, 2022",2.0 out of 5 stars,Sound not loud enough very low trued all sound options still not loud, I bought this for work it crashed the day after the return policy expired and is now a brick I fought for 3 months with Lenovo to get it fixed and was told it wasn't covered... don't buy lenovo products,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
36,36,Classic Reviewer,"March 10, 2022",4.0 out of 5 stars,Good quality computer for those who need web/office tasks but value isn't there,"If English as a second language courses were taken, I got the worst. Lenovo has served well and this replacement computer due to a keyboard failure in my old Lenovo was a ""loyalty"" buy. With a problem in the setup, I spent hours on hold and then getting no help from people that on three different occasions tried to sell me a $199 service plan BEFORE I even got the unit setup! Sending it back.","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
37,37,Bob Sammon,"September 20, 2021",4.0 out of 5 stars,Decent for most common tasks,,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
38,38,Miamia,"June 15, 2022",3.0 out of 5 stars,Stiff touchpad,The media could not be loaded.,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
39,39,M. R. Simmons,"October 23, 2021",4.0 out of 5 stars,"Good, albeit somewhat pricey for an entry-level productivity laptop.", It is great except the audio is way too low,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
40,40,June J,"July 21, 2022",5.0 out of 5 stars,Great laptop,This is a great inexpensive pretty powerful laptop with good memory! I wouldn't toss it around but you can't have everything at this price,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
41,41,David Anderson,"May 2, 2022",4.0 out of 5 stars,Nice and fast,Nice and fast could use a little more ram. The only things I real don't like is that you can only top off the ram to 12gb. Nice big screen though and it has a very fast 6 core  processor that's one reason I bought it. Doesn't come with a bunch of bloat ware either. In the description it doesn't tell you but it has biometric login which is nice. Would like to wipe it and run Linux on it  I grown used to Linux  but I don't want to get rid of a licensed copy of Widows. When you first start it up you will have the option to keep Windows 10 or upgrade to windows 11.,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
42,42,Thor,"July 18, 2022",5.0 out of 5 stars,Nice being able to get this with payments!,Great laptop. Large screen. Was able to get it on payments so that made it a lot better.,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
43,43,George,"June 17, 2022",4.0 out of 5 stars,Overall it’s a great laptop,Everything is great except the touch pad sometimes just freezes up so always have to have a mouse ready close by.,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
44,44,Danny,"March 29, 2022",4.0 out of 5 stars,Great Laptop! Fast! EASY TO SEE keyboard!,"Great Laptop! Fast! EASY TO SEE keyboard! (Which had ALOT to do in making my decision) 1080p Screen.Could be brighter screen, but good bang for the buck!VERY slim and light!Does NOT get hot when running multiple programs,  however, I did purchase a laptop cooler (KLIM Airflow)fits 17"" laptop, just for extra precaution!!👍I will review it when it comes today! *watch for review.Overall LOVE ❤️  this laptop!I would definitely👍recommend this laptop! 💻Great buy for the money!💯","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
45,45,Olga Flores,"August 8, 2022",3.0 out of 5 stars,Se dañó rápido el Wireless,"A 1 mes de usarla se dañó el Wireless recibí soporte pero debía enviar el computador al fabricante , la uso para trabajar y no podía quedarme sin ella","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
46,46,Michael,"May 16, 2022",5.0 out of 5 stars,,,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
47,47,Mightyark87,"April 16, 2022",4.0 out of 5 stars,Quality Laptop,"I've had this laptop for a few days and I like everything about it so far. Nice big screen, privacy shutter for the camera and lots of power for the money. It's worked flawlessly so far. There was not a lot of bloatware which was also a plus. This is not a gaming laptop but it does the job for doing business and surfing the web. I'm completely satisfied with my purchase.","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
48,48,Michael H,"April 10, 2022",5.0 out of 5 stars,Reliable laptop,After switching over to HP I think I will go back to Lenovo. Very reliable and fast too!,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
49,49,Timothy,"January 28, 2022",3.0 out of 5 stars,Not sure how you beat this for the price,"Wanted a new laptop with large screen but didn't want to spend a lot. This Lenovo 17.3"" has met or exceeded all my expectations. You get a six core/12 thread processor, 500 gb m.2 hard drive, 8 gb mem, and a thin/sleek well made laptop for a great price.The display is TN, but colors look great and the 1600x900 resolution (for me) is perfect for this size screen. The processor is fast and runs cool. Not a gaming laptop because of integrated graphics, but for everything else this laptop suits all needs well.","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
0,0,Anthony,"December 23, 2019",5.0 out of 5 stars,Great Laptop - Highly Responsive and Great Touch Screen,"Overall, I would say the laptop is great. It is definitely worth the price of around $300. It is small, lightweight (although could be more), responsive, looks great, smells new after months, smooth to use, track pad is pretty good,overall good chromebook.I'm not really too much of a Tech person but grew up with computers in my 20's mostly using it for school and personal stuff.I had it for a few months now so my beginning concerns aren't the same as my latter ones. I'll try to go over really quickly the basic beginning concerns I had then go through with my impressions with months of use later on. 1366 X 768 isn't HD but it's acceptable. Processing speed is 2.1 ghz, never had a problem or issue with lags. 4 gb ram is okay, probably wouldnt do 2 gb. 11.6 screen, I wanted something smaller so this is a plus to me. Bit heavy with 2.64 lbs for a small laptop but it's okay, still my lightest one. internet connection is good and bluetooth use was good. Processor never had a problem with Mediatek. Convertible to tablet mode is a plus. Solid state so processes quickly which is a big plus. Battery life is great, I hate charging and finding an outlet, but this goes on for more than 8-10 hours, just doing school stuff, no videos. I would say I searched like crazy in the beginning. I wanted one main personal laptop and one small convertible laptop and this was the best convertible one I could find on Amazon. I compared like 20+ laptops over a week, I was really putting a ridiculous amount of time on it. But I had specific things I wanted in mine, like speed, aesthetics, smooth performance, and valued those more than other things. I wanted things to be really convenient.I have started using chromebooks more because they are inexpensive and very convenient to use. They aren't too good for hardcore processing, but for school work or personal work, it meets all my needs. Whenever I use it, everything is pretty smooth and seamless. Start and shut down are almost instant. I have never had an issue with it's use so far. I think for me, the biggest plus is the elegance. It makes everything very easy to use, it looks great, it even retains its new smell after some months with light use. My other laptops have poor track pads but this one is infinitely better. I don't feel the need to use a wireless mouse as well. I ended up getting a screen protector for it for almost $20 because it was a touch screen. I like how it has a lot of features like hdmi cables, one usbs, even a memory card slot. I think for the price, it is definitely worth it. It feels like a very high end chromebook, although I generally wouldn't pay too much for a laptop in general because I don't need high processing. The buttons feel nice and smooth. There hasn't been much lag or delay time. Updates are easy and smooth. Screen is nice to look at and the colors are great. There doesn't seem to be much glare and it feels aesthetically pleasing. Yeah everything's really nice with this.There are some things I don't like about it though. Originally, I had planned to use this as a tablet part-time because I didn't want to buy paper textbooks. I thought of using all of it on this chromebook, but it turned out to not be convenient because it was too heavy. I would use it on the train and my hands would almost immediately get tired trying to read. I would have to rest is down on myself, which isn't a big deal but wanted something I could read ebooks and pdfs on conveniently. I don't know if I will end up getting another one to serve that purpose. It also is a chromebook so it cannot download files and stuff. I don't particularly like that because that stops it from being my main computer. I don't like putting personal stuff on my drive, like my expenses or whatever even though it is irrational and I do it with some apps. Maybe I should, but the fact that everything is on my drive to see makes me feel a bit uncomfortable. I don't mind that this computer cannot really do much without internet because I always have something saved on it. It has 64 gb of memory which I think is quite significant. I mean, if I couldn't put anything on the drive, I wouldn't feel that, but 64 gb + drive storage seems more than enough and I am trying to be a minimalist anyway. Yeah not that many cons.Anyway, I wanted a inexpensive laptop but this definitely performs up to par with most laptops. Never had a problem with it so far months into my purchase but did want something I could use as a tablet. Would definitely recommend. Definitely better than a lot of the stuff I grew up with that cost 3x more. Best laptop I could find and really pleasantly surprised overall in many areas.","Lenovo Chromebook C330 2-in-1 Convertible Laptop, 11.6"" HD Display, MediaTek MT8173C, 4GB RAM, 64GB Storage, Chrome OS, Blizzard White",&289,review10.csv
1,1,Groingo,"March 31, 2022",5.0 out of 5 stars,A very  unexpected surprise!,"Renewed Lenovo C330 arrived in a huge box clearly marked HEAVY LOAD....someone had a sense of humor being that the whole thing weighed only 4 pounds and you could have put ten of these in boxes inside their big box!Opening the box the description had said it had cosmetic damage on the sides and gouges on the case, close inspection revealed no damage, it was MINT condition plus the moment I cracked the lid open it was already setting itself up and after a couple of minutes it was ready to go, (try that WINDOWS!) it had syncd itself from my other Chromebook!The main reason I bought the Lenovo Chromebook was to see first hand how it compared to the two Acer Chromebooks I have, the Acer Spin 713 and the Acer R13, both having a lot of aggrivating issues relating to OS integration.Acer both 713 and R13 had serious issues with poor sound loudness and quality, image quality is poor even though they were running over 2000 resolution, poor internet speed as both 713 and R13 kept switching to lower speed settings, while virtual keyboard settings in both Acer's suffered from serious lag, and screen fragmentation, Bluetooth pairing was poor with continual drops and no restart if computer woke from sleep and slower overall performance on and offline if used as a tablet.Lenovo: Suffers from none of the above and excel's in many areas starting with Sound which is LOUD, image quality even with a low 1366 resolution is tight, sharp, and vivid, internet speed stayed where you put it and is quick, virtual keyboard no issues, Bluetooth pairs easily and is ready after sleep with no drops, tablet performance no different, quick and precise.I agree with some other comments that this is a really handsome computer, the eggshell white with dark grey keys is a real eye catcher, that backed up by a great overall experience and I just noticed the price for these as renewed from the Amazon Warehouse has dropped, you will NOT be dissapointed!Now for the real twist:  I have bought 9 different Chromebooks over the past couple of months to see if they had that something special that makes them indespensible and I must honestly say that my Fire Tablets 7 through 10 and ONLY the Fire Tablets are much more useful, easy to use, take a ton less space, have much broader uses, easier to take with, typically much higher video, image and sound quality and much faster on the internet and cost waaaay less but give you so much more, so the grand experiment is done and I will be finding some good homes for the Chromebooks.","Lenovo Chromebook C330 2-in-1 Convertible Laptop, 11.6"" HD Display, MediaTek MT8173C, 4GB RAM, 64GB Storage, Chrome OS, Blizzard White",&289,review10.csv
2,2,Josh Hartman,"November 30, 2018",5.0 out of 5 stars,Far exceeded my expectations,"Full disclosure, I am not an IT professional but use laptops, tablets, and desktop computers daily in my personal and work life. This chromebook has far exceeded my expectations. This is my first time using a chromebook. I have had a week or so to really dig into the device. I own an alienware gaming laptop, but I find myself only using it now for gaming purposes only.This chromebook is fast in my opinion. The speed is snappy and the device responds quickly to gestures and commands. I have yet to find sometime I can't do on this that I do on my windows laptop aside from gaming. One game I like to play requires windows, mac, or linux. Since this has an ARM processor it does not support linux applications at this time.Design: This device is a bright attractive white chromebook. I find the design to be pleasing to the eye and appears sturdy even though it is made from plastic. I do not particularly like using it in tablet mode. The screen feels bulky and sometimes unmanageable in tablet mode. The screen quickly transitions to whatever position to place it in whether laptop, tent, or tablet mode. I personal find myself not even using my LG tablet for much of anything except when I need LTE internet away from home. Overall the design is great.Screen/Input: I find the keyboard to be on par with most laptop keyboards. The keys are a little shallow and I feel my typing has slowed a little bit, but not by much. The IPS touchscreen is very responsive and rarely find myself having to touch the screen more than once for my intended gesture. Screen is bright in home conditions, but feel it would lack in more intense lighting situations, such as outdoors.Ease of Use: The google play store makes this thing be able to do just about anything. I have not tried any intense applications. I use chrome, netflix, hulu, evernote, several banking apps, and various other apps. All of them are snappy responsive. The bank apps load like they are in phone mode, thus they are in a small window. The apps still work as designed. Netflix and Hulu playback is smooth and pleasant to watch on the screen.Overall, I am impressed with the Google OS and this device in general. If your someone who is on the fence about the operating system, I suggest you give it a try. The battery life is good as well. When using my gaming laptop its always with a cord tethered nearby. I also understand a gaming laptop is far more power intensive. I have yet to use this chromebook while charging it. The battery has allowed me to watch 4-5 hours of netflix, talk on facebook, and text through my phone without ever getting critically low. I charge it at night and then never put it back on till the next night. This is a max screen brightness. I was also very surprised with the speakers. The speakers were much louder and not distorted. I honestly expected them to be cheap netbook quality that is mostly better just to never use them, but thats not the case with this chromebook. I do generally use a bluetooth headset. The bluetooth headset paired with extreme simplicity. I also set up my brother wireless laser printer with google cloud print in less than 30 seconds.Google did it right and lenovo delivered a solid product. I did purchase this on sale for $200 but would have spent the $300. If your a web surfer, music listener, netflix watcher I highly recommend this. If you need windows intense software then go with windows. Otherwise I think you'll find yourself using this as your primary device as I have.","Lenovo Chromebook C330 2-in-1 Convertible Laptop, 11.6"" HD Display, MediaTek MT8173C, 4GB RAM, 64GB Storage, Chrome OS, Blizzard White",&289,review10.csv
3,3,javierre01,"August 22, 2022",5.0 out of 5 stars,Great,Es muy facil de utilizarla y puedes usaela como laptop o como tablet,"Lenovo Chromebook C330 2-in-1 Convertible Laptop, 11.6"" HD Display, MediaTek MT8173C, 4GB RAM, 64GB Storage, Chrome OS, Blizzard White",&289,review10.csv
4,4,Mel,"August 19, 2022",5.0 out of 5 stars,,,"Lenovo Chromebook C330 2-in-1 Convertible Laptop, 11.6"" HD Display, MediaTek MT8173C, 4GB RAM, 64GB Storage, Chrome OS, Blizzard White",&289,review10.csv
5,5,Arivee,"January 28, 2019",4.0 out of 5 stars,Good buy,It’s worth it .. good laptop at an affordable price it folds .. easy to carry around .,"Lenovo Chromebook C330 2-in-1 Convertible Laptop, 11.6"" HD Display, MediaTek MT8173C, 4GB RAM, 64GB Storage, Chrome OS, Blizzard White",&289,review10.csv
